identity,                       multihash,      0x00,           permanent
cidv1,                          cid,            0x01,           permanent
cidv2,                          cid,            0x02,           draft
cidv3,                          cid,            0x03,           draft
ip4,                            multiaddr,      0x04,           permanent
tcp,                            multiaddr,      0x06,           permanent
sha1,                           multihash,      0x11,           permanent
sha2-256,                       multihash,      0x12,           permanent
sha2-512,                       multihash,      0x13,           permanent
sha3-512,                       multihash,      0x14,           permanent
sha3-384,                       multihash,      0x15,           permanent
sha3-256,                       multihash,      0x16,           permanent
sha3-224,                       multihash,      0x17,           permanent
shake-128,                      multihash,      0x18,           draft
shake-256,                      multihash,      0x19,           draft
keccak-224,                     multihash,      0x1a,           draft
keccak-256,                     multihash,      0x1b,           draft
keccak-384,                     multihash,      0x1c,           draft
keccak-512,                     multihash,      0x1d,           draft
blake3,                         multihash,      0x1e,           draft
sha2-384,                       multihash,      0x20,           permanent
dccp,                           multiaddr,      0x21,           draft
murmur3-x64-64,                 hash,           0x22,           permanent
murmur3-32,                     hash,           0x23,           draft
ip6,                            multiaddr,      0x29,           permanent
ip6zone,                        multiaddr,      0x2a,           draft
ipcidr,                         multiaddr,      0x2b,           draft
path,                           namespace,      0x2f,           permanent
multicodec,                     multiformat,    0x30,           draft
multihash,                      multiformat,    0x31,           draft
multiaddr,                      multiformat,    0x32,           draft
multibase,                      multiformat,    0x33,           draft
varsig,                         multiformat,    0x34,           draft
dns,                            multiaddr,      0x35,           permanent
dns4,                           multiaddr,      0x36,           permanent
dns6,                           multiaddr,      0x37,           permanent
dnsaddr,                        multiaddr,      0x38,           permanent
protobuf,                       serialization,  0x50,           draft
cbor,                           ipld,           0x51,           permanent
raw,                            ipld,           0x55,           permanent
dbl-sha2-256,                   multihash,      0x56,           draft
rlp,                            serialization,  0x60,           draft
bencode,                        serialization,  0x63,           draft
dag-pb,                         ipld,           0x70,           permanent
dag-cbor,                       ipld,           0x71,           permanent
libp2p-key,                     ipld,           0x72,           permanent
git-raw,                        ipld,           0x78,           permanent
torrent-info,                   ipld,           0x7b,           draft
torrent-file,                   ipld,           0x7c,           draft
leofcoin-block,                 ipld,           0x81,           draft
leofcoin-tx,                    ipld,           0x82,           draft
leofcoin-pr,                    ipld,           0x83,           draft
sctp,                           multiaddr,      0x84,           draft
dag-jose,                       ipld,           0x85,           draft
dag-cose,                       ipld,           0x86,           draft
lbry,                           namespace,      0x8c,           draft
eth-block,                      ipld,           0x90,           permanent
eth-block-list,                 ipld,           0x91,           permanent
eth-tx-trie,                    ipld,           0x92,           permanent
eth-tx,                         ipld,           0x93,           permanent
eth-tx-receipt-trie,            ipld,           0x94,           permanent
eth-tx-receipt,                 ipld,           0x95,           permanent
eth-state-trie,                 ipld,           0x96,           permanent
eth-account-snapshot,           ipld,           0x97,           permanent
eth-storage-trie,               ipld,           0x98,           permanent
eth-receipt-log-trie,           ipld,           0x99,           draft
eth-receipt-log,                ipld,           0x9a,           draft
aes-128,                        key,            0xa0,           draft
aes-192,                        key,            0xa1,           draft
aes-256,                        key,            0xa2,           draft
chacha-128,                     key,            0xa3,           draft
chacha-256,                     key,            0xa4,           draft
bitcoin-block,                  ipld,           0xb0,           permanent
bitcoin-tx,                     ipld,           0xb1,           permanent
bitcoin-witness-commitment,     ipld,           0xb2,           permanent
zcash-block,                    ipld,           0xc0,           permanent
zcash-tx,                       ipld,           0xc1,           permanent
caip-50,                        multiformat,    0xca,           draft
streamid,                       namespace,      0xce,           draft
stellar-block,                  ipld,           0xd0,           draft
stellar-tx,                     ipld,           0xd1,           draft
md4,                            multihash,      0xd4,           draft
md5,                            multihash,      0xd5,           draft
decred-block,                   ipld,           0xe0,           draft
decred-tx,                      ipld,           0xe1,           draft
ipld,                           namespace,      0xe2,           draft
ipfs,                           namespace,      0xe3,           draft
swarm,                          namespace,      0xe4,           draft
ipns,                           namespace,      0xe5,           draft
zeronet,                        namespace,      0xe6,           draft
secp256k1-pub,                  key,            0xe7,           draft
dnslink,                        namespace,      0xe8,           permanent
bls12_381-g1-pub,               key,            0xea,           draft
bls12_381-g2-pub,               key,            0xeb,           draft
x25519-pub,                     key,            0xec,           draft
ed25519-pub,                    key,            0xed,           draft
bls12_381-g1g2-pub,             key,            0xee,           draft
sr25519-pub,                    key,            0xef,           draft
dash-block,                     ipld,           0xf0,           draft
dash-tx,                        ipld,           0xf1,           draft
swarm-manifest,                 ipld,           0xfa,           draft
swarm-feed,                     ipld,           0xfb,           draft
beeson,                         ipld,           0xfc,           draft
udp,                            multiaddr,      0x0111,         draft
p2p-webrtc-star,                multiaddr,      0x0113,         deprecated
p2p-webrtc-direct,              multiaddr,      0x0114,         deprecated
p2p-stardust,                   multiaddr,      0x0115,         deprecated
webrtc-direct,                  multiaddr,      0x0118,         draft
webrtc,                         multiaddr,      0x0119,         draft
p2p-circuit,                    multiaddr,      0x0122,         permanent
dag-json,                       ipld,           0x0129,         permanent
udt,                            multiaddr,      0x012d,         draft
utp,                            multiaddr,      0x012e,         draft
crc32,                          hash,           0x0132,         draft
crc64-ecma,                     hash,           0x0164,         draft
unix,                           multiaddr,      0x0190,         permanent
thread,                         multiaddr,      0x0196,         draft
p2p,                            multiaddr,      0x01a5,         permanent
https,                          multiaddr,      0x01bb,         draft
onion,                          multiaddr,      0x01bc,         draft
onion3,                         multiaddr,      0x01bd,         draft
garlic64,                       multiaddr,      0x01be,         draft
garlic32,                       multiaddr,      0x01bf,         draft
tls,                            multiaddr,      0x01c0,         draft
sni,                            multiaddr,      0x01c1,         draft
noise,                          multiaddr,      0x01c6,         draft
shs,                            multiaddr,      0x01c8,         draft
quic,                           multiaddr,      0x01cc,         permanent
quic-v1,                        multiaddr,      0x01cd,         permanent
webtransport,                   multiaddr,      0x01d1,         draft
certhash,                       multiaddr,      0x01d2,         draft
ws,                             multiaddr,      0x01dd,         permanent
wss,                            multiaddr,      0x01de,         permanent
p2p-websocket-star,             multiaddr,      0x01df,         permanent
http,                           multiaddr,      0x01e0,         draft
swhid-1-snp,                    ipld,           0x01f0,         draft
json,                           ipld,           0x0200,         permanent
messagepack,                    serialization,  0x0201,         draft
car,                            serialization,  0x0202,         draft
ipns-record,                    serialization,  0x0300,         permanent
libp2p-peer-record,             libp2p,         0x0301,         permanent
libp2p-relay-rsvp,              libp2p,         0x0302,         permanent
memorytransport,                libp2p,         0x0309,         permanent
car-index-sorted,               serialization,  0x0400,         draft
car-multihash-index-sorted,     serialization,  0x0401,         draft
transport-bitswap,              transport,      0x0900,         draft
transport-graphsync-filecoinv1, transport,      0x0910,         draft
transport-ipfs-gateway-http,    transport,      0x0920,         draft
multidid,                       multiformat,    0x0d1d,         draft
sha2-256-trunc254-padded,       multihash,      0x1012,         permanent
sha2-224,                       multihash,      0x1013,         permanent
sha2-512-224,                   multihash,      0x1014,         permanent
sha2-512-256,                   multihash,      0x1015,         permanent
murmur3-x64-128,                hash,           0x1022,         draft
ripemd-128,                     multihash,      0x1052,         draft
ripemd-160,                     multihash,      0x1053,         draft
ripemd-256,                     multihash,      0x1054,         draft
ripemd-320,                     multihash,      0x1055,         draft
x11,                            multihash,      0x1100,         draft
p256-pub,                       key,            0x1200,         draft
p384-pub,                       key,            0x1201,         draft
p521-pub,                       key,            0x1202,         draft
ed448-pub,                      key,            0x1203,         draft
x448-pub,                       key,            0x1204,         draft
rsa-pub,                        key,            0x1205,         draft
sm2-pub,                        key,            0x1206,         draft
ed25519-priv,                   key,            0x1300,         draft
secp256k1-priv,                 key,            0x1301,         draft
x25519-priv,                    key,            0x1302,         draft
sr25519-priv,                   key,            0x1303,         draft
rsa-priv,                       key,            0x1305,         draft
p256-priv,                      key,            0x1306,         draft
p384-priv,                      key,            0x1307,         draft
p521-priv,                      key,            0x1308,         draft
bls12_381-g1-priv,              key,            0x1309,         draft
bls12_381-g2-priv,              key,            0x130a,         draft
bls12_381-g1g2-priv,            key,            0x130b,         draft
kangarootwelve,                 multihash,      0x1d01,         draft
aes-gcm-256,                    encryption,     0x2000,         draft
silverpine,                     multiaddr,      0x3f42,         draft
sm3-256,                        multihash,      0x534d,         draft
sha256a,                        hash,           0x7012,         draft
blake2b-8,                      multihash,      0xb201,         draft
blake2b-16,                     multihash,      0xb202,         draft
blake2b-24,                     multihash,      0xb203,         draft
blake2b-32,                     multihash,      0xb204,         draft
blake2b-40,                     multihash,      0xb205,         draft
blake2b-48,                     multihash,      0xb206,         draft
blake2b-56,                     multihash,      0xb207,         draft
blake2b-64,                     multihash,      0xb208,         draft
blake2b-72,                     multihash,      0xb209,         draft
blake2b-80,                     multihash,      0xb20a,         draft
blake2b-88,                     multihash,      0xb20b,         draft
blake2b-96,                     multihash,      0xb20c,         draft
blake2b-104,                    multihash,      0xb20d,         draft
blake2b-112,                    multihash,      0xb20e,         draft
blake2b-120,                    multihash,      0xb20f,         draft
blake2b-128,                    multihash,      0xb210,         draft
blake2b-136,                    multihash,      0xb211,         draft
blake2b-144,                    multihash,      0xb212,         draft
blake2b-152,                    multihash,      0xb213,         draft
blake2b-160,                    multihash,      0xb214,         draft
blake2b-168,                    multihash,      0xb215,         draft
blake2b-176,                    multihash,      0xb216,         draft
blake2b-184,                    multihash,      0xb217,         draft
blake2b-192,                    multihash,      0xb218,         draft
blake2b-200,                    multihash,      0xb219,         draft
blake2b-208,                    multihash,      0xb21a,         draft
blake2b-216,                    multihash,      0xb21b,         draft
blake2b-224,                    multihash,      0xb21c,         draft
blake2b-232,                    multihash,      0xb21d,         draft
